source,key,value
quasimutant,ArtistSimilarity,PKCColumnR
equivalent,ArtistSimilarity,NNCA
equivalent,ArtistSimilarity,UCColumnA
redundant,ArtistSimilarity,FKCColumnPairR
redundant,ArtistSimilarity,FKCColumnPairR
quasimutant,ArtistTerm,PKCColumnR
quasimutant,ArtistTerm,PKCColumnR
quasimutant,ArtistTerm,PKCColumnR
equivalent,ArtistTerm,NNCA
equivalent,ArtistTerm,NNCA
equivalent,ArtistTerm,NNCA
equivalent,ArtistTerm,UCColumnA
equivalent,ArtistTerm,UCColumnA
equivalent,ArtistTerm,UCColumnA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairA
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,FKCColumnPairE
quasimutant,BankAccount,PKCColumnA
quasimutant,BankAccount,PKCColumnA
quasimutant,BankAccount,PKCColumnA
quasimutant,BankAccount,PKCColumnR
quasimutant,BankAccount,PKCColumnE
quasimutant,BankAccount,PKCColumnE
quasimutant,BankAccount,PKCColumnE
equivalent,BankAccount,NNCA
equivalent,BankAccount,NNCA
equivalent,BankAccount,UCColumnA
equivalent,BankAccount,UCColumnA
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,NNCR
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairA
quasimutant,BrowserCookies,FKCColumnPairR
quasimutant,BrowserCookies,FKCColumnPairR
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,FKCColumnPairE
quasimutant,BrowserCookies,PKCColumnA
quasimutant,BrowserCookies,PKCColumnA
quasimutant,BrowserCookies,PKCColumnA
quasimutant,BrowserCookies,PKCColumnR
quasimutant,BrowserCookies,PKCColumnR
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
quasimutant,BrowserCookies,PKCColumnE
equivalent,BrowserCookies,NNCR
equivalent,BrowserCookies,NNCR
equivalent,BrowserCookies,NNCR
equivalent,BrowserCookies,UCColumnA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairA
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,FKCColumnPairE
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnA
quasimutant,CoffeeOrders,PKCColumnR
quasimutant,CoffeeOrders,PKCColumnR
quasimutant,CoffeeOrders,PKCColumnR
quasimutant,CoffeeOrders,PKCColumnR
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
quasimutant,CoffeeOrders,PKCColumnE
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,NNCA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
quasimutant,CustomerOrder,FKCColumnPairA
