source,key,value
impaired,ArtistSimilarity,PKCColumnR
equivalent,ArtistSimilarity,UCColumnA
redundant,ArtistSimilarity,FKCColumnPairR
redundant,ArtistSimilarity,FKCColumnPairR
impaired,ArtistTerm,PKCColumnR
impaired,ArtistTerm,PKCColumnR
impaired,ArtistTerm,PKCColumnR
equivalent,ArtistTerm,UCColumnA
equivalent,ArtistTerm,UCColumnA
equivalent,ArtistTerm,UCColumnA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairA
impaired,BankAccount,FKCColumnPairE
impaired,BankAccount,FKCColumnPairE
impaired,BankAccount,FKCColumnPairE
impaired,BankAccount,PKCColumnA
impaired,BankAccount,PKCColumnA
impaired,BankAccount,PKCColumnA
impaired,BankAccount,PKCColumnR
impaired,BankAccount,PKCColumnE
impaired,BankAccount,PKCColumnE
impaired,BankAccount,PKCColumnE
equivalent,BankAccount,UCColumnA
equivalent,BankAccount,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
equivalent,BookTown,UCColumnA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairA
impaired,BrowserCookies,FKCColumnPairR
impaired,BrowserCookies,FKCColumnPairR
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,FKCColumnPairE
impaired,BrowserCookies,PKCColumnA
impaired,BrowserCookies,PKCColumnA
impaired,BrowserCookies,PKCColumnA
impaired,BrowserCookies,PKCColumnR
impaired,BrowserCookies,PKCColumnR
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
impaired,BrowserCookies,PKCColumnE
equivalent,BrowserCookies,UCColumnA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairA
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,FKCColumnPairE
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnA
impaired,CoffeeOrders,PKCColumnR
impaired,CoffeeOrders,PKCColumnR
impaired,CoffeeOrders,PKCColumnR
impaired,CoffeeOrders,PKCColumnR
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
impaired,CoffeeOrders,PKCColumnE
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
equivalent,CoffeeOrders,UCColumnA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
impaired,CustomerOrder,FKCColumnPairA
